BE Number,BE Category,Clinic Code,Clinic Category,District,State,Current Status ,New Status 
MLK004559-1-1,Handpieces| Dental,MLK155,Pergigian,Jasin,Melaka,ACT,BER
MLK004559-1-2,Handpieces| Dental,MLK155,Pergigian,Jasin,Melaka,ACT,BER
MLK004559-1-3,Handpieces| Dental,MLK155,Pergigian,Jasin,Melaka,ACT,BER
MLK004559-2-1,Handpieces| Dental,MLK155,Pergigian,Jasin,Melaka,ACT,BER
MLK004559-2-2,Handpieces| Dental,MLK155,Pergigian,Jasin,Melaka,ACT,BER
MLK004559-2-3,Handpieces| Dental,MLK155,Pergigian,Jasin,Melaka,ACT,BER
MLK004559-3-1,Scalers| Dental| Ultrasonic,MLK155,Pergigian,Jasin,Melaka,ACT,BER
MLK004559-3-2,Scalers| Dental| Ultrasonic,MLK155,Pergigian,Jasin,Melaka,ACT,BER
MLK004559-4,Lights| Dental| Intraoral,MLK155,Pergigian,Jasin,Melaka,ACT,BER
MLK004559-5,Lights| Dental,MLK155,Pergigian,Jasin,Melaka,ACT,BER
MLK005777-1-1,Handpieces| Dental,MLK099,Pergigian,Melaka Tengah,Melaka,ACT,BER
MLK005777-1-2,Handpieces| Dental,MLK099,Pergigian,Melaka Tengah,Melaka,ACT,BER
MLK005777-1-3,Handpieces| Dental,MLK099,Pergigian,Melaka Tengah,Melaka,ACT,BER
MLK005777-2-1,Handpieces| Dental,MLK099,Pergigian,Melaka Tengah,Melaka,ACT,BER
MLK005777-2-2,Handpieces| Dental,MLK099,Pergigian,Melaka Tengah,Melaka,ACT,BER
MLK005777-2-3,Handpieces| Dental,MLK099,Pergigian,Melaka Tengah,Melaka,ACT,BER
MLK005777-3-1,Scalers| Dental| Ultrasonic,MLK099,Pergigian,Melaka Tengah,Melaka,ACT,BER
MLK005777-3-2,Scalers| Dental| Ultrasonic,MLK099,Pergigian,Melaka Tengah,Melaka,ACT,BER
MLK005777-4,Lights| Dental| Intraoral,MLK099,Pergigian,Melaka Tengah,Melaka,ACT,BER
MLK005777-5,Lights| Dental,MLK099,Pergigian,Melaka Tengah,Melaka,ACT,BER
MLK005777-6,Aspirators| Dental,MLK099,Pergigian,Melaka Tengah,Melaka,ACT,BER
MLK005777-7,Compressors| Medical-Air,MLK099,Pergigian,Melaka Tengah,Melaka,ACT,BER
MLK005778-1-1,Handpieces| Dental,MLK099,Pergigian,Melaka Tengah,Melaka,ACT,BER
MLK005778-1-2,Handpieces| Dental,MLK099,Pergigian,Melaka Tengah,Melaka,ACT,BER
MLK005778-1-3,Handpieces| Dental,MLK099,Pergigian,Melaka Tengah,Melaka,ACT,BER
MLK005778-2-1,Handpieces| Dental,MLK099,Pergigian,Melaka Tengah,Melaka,ACT,BER
MLK005778-2-2,Handpieces| Dental,MLK099,Pergigian,Melaka Tengah,Melaka,ACT,BER
MLK005778-2-3,Handpieces| Dental,MLK099,Pergigian,Melaka Tengah,Melaka,ACT,BER
MLK005778-3-1,Scalers| Dental| Ultrasonic,MLK099,Pergigian,Melaka Tengah,Melaka,ACT,BER
MLK005778-3-2,Scalers| Dental| Ultrasonic,MLK099,Pergigian,Melaka Tengah,Melaka,ACT,BER
MLK005778-4,Lights| Dental| Intraoral,MLK099,Pergigian,Melaka Tengah,Melaka,ACT,BER
MLK005778-5,Lights| Dental,MLK099,Pergigian,Melaka Tengah,Melaka,ACT,BER
MLK005778-6,Aspirators| Dental,MLK099,Pergigian,Melaka Tengah,Melaka,ACT,BER
MLK005778-7,Compressors| Medical-Air,MLK099,Pergigian,Melaka Tengah,Melaka,ACT,BER
