 
 
 					 


S/No,Package ID,DRN No.,Supplier ID,Supplier Name,Supplier Email ID,Supplier Address,Supplier Contact Person,Product Name,Product Manufacturer,Product Model,Product Details,Clinic ID,Clinic Name,Clinic Address,Clinic Type,Batch,Supplier Zone,PO No.,PO Date,BE No,BE Type,State,District,Delivery date and time,T&C Date and Time,Serial No.,Actual T&C Date,Delivery Status,
"1","01 01","QMS 01/01/07/027678","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH011","Klinik Kesihatan Paitan","D A PKK Beluran  Peti Surat 86  90108 Beluran  Sabah","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP013","PBE","SABAH","BELURAN","2018-04-17 8:00AM","2018-04-17 8:00AM","016861","22-05-2018","Products Installed",
"2","01 01","QMS 01/01/07/027679","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH013","Klinik Kesihatan Tangkarason","D A PKK Beluran  Beg Berkunci No 2  90109 Beluran  Sabah","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP014","PBE","SABAH","BELURAN","2018-04-17 8:00AM","2018-04-17 8:00AM","016877","22-05-2018","Products Installed",
"3","01 01","QMS 01/01/07/027680","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH014","Klinik Kesihatan Telupid","D A PKK Beluran  Beg Berkunci No 2  90109 Beluran  Sabah","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP015","PBE","SABAH","BELURAN","2018-04-20 8:00AM","2018-04-20 8:00AM","016878","22-05-2018","Products Installed",
"4","01 01","QMS 01/01/07/027681","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH021","Klinik Kesihatan  Pagalungan","D A PKK Nabawan  Peti Surat No 16  89957 Nabawan Sabah","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP016","PBE","SABAH","NABAWAN","2018-05-04 11:00AM","2018-05-04 11:00AM","018662","24-05-2018","Products Installed",
"5","01 01","QMS 01/01/07/027682","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH046","Klinik Kesihatan Felda Sahabat","D A PKK Lahad Datu Peti Surat 61167  91120 Lahad Datu  Sabah","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP017","PBE","SABAH","LAHAD DATU","2018-04-19 8:00AM","2018-04-19 8:00AM","018664","22-05-2018","Products Installed",
"6","01 01","QMS 01/01/07/027683","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH053","Klinik Kesihatan Sukau","D A PKK Sandakan  Tingkat 6  Bangunan Persekutuan 90500Sandakan Sabah","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP018","PBE","SABAH","KINABATANGAN","2018-04-23 8:00AM","2018-04-23 8:00AM","018693","22-05-2018","Products Installed",
"7","01 01","QMS 01/01/07/027684","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH054","Klinik Kesihatan Sandakan","D A PKK Sandakan  Tingkat 6  Bangunan Persekutuan 90500Sandakan Sabah","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP019","PBE","SABAH","SANDAKAN","2018-04-24 8:00AM","2018-04-24 8:00AM","018700","22-05-2018","Products Installed",
"8","01 01","QMS 01/01/07/027685","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH055","Klinik Kesihatan Suan Lamba","D A PKK Sandakan  Tingkat 6  Bangunan Persekutuan 90500Sandakan Sabah","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP021","PBE","SABAH","SANDAKAN","2018-04-24 8:00AM","2018-04-24 8:00AM","018857","22-05-2018","Products Installed",
"9","01 01","QMS 01/01/07/027686","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH056","Klinik Kesihatan Sungai Manila","D A PKK Sandakan  Tingkat 6  Bangunan Persekutuan 90500Sandakan Sabah","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP022","PBE","SABAH","SANDAKAN","2018-04-24 8:00AM","2018-04-24 8:00AM","016874","22-05-2018","Products Installed",
"10","01 01","QMS 01/01/07/027687","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH057","Klinik Kesihatan Ulu Dusun","D A PKK Sandakan  Tingkat 6  Bangunan Persekutuan 90500Sandakan Sabah","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP023","PBE","SABAH","SANDAKAN","2018-04-18 4:00PM","2018-04-18 4:00PM","018694","22-05-2018","Products Installed",
"11","01 01","QMS 01/01/07/027688","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH058","Klinik Kesihatan Kuamut","D A PKK Sandakan  Tingkat 6  Bangunan Persekutuan 90500Sandakan Sabah","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP024","PBE","SABAH","TONGOD","2018-04-26 4:00PM","2018-04-26 4:00PM","016863","22-05-2018","Products Installed",
"12","01 01","QMS 01/01/07/027689","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH059","Klinik Kesihatan Penangah","D A PKK Sandakan  Tingkat 6  Bangunan Persekutuan 90500Sandakan Sabah","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP025","PBE","SABAH","TONGOD","2018-04-25 2:00PM","2018-04-25 2:00PM","018660","22-05-2018","Products Installed",
"13","01 01","QMS 01/01/07/027690","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH060","Klinik Kesihatan Tongod","D A PKK Sandakan  Tingkat 6  Bangunan Persekutuan 90500Sandakan Sabah","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP026","PBE","SABAH","TONGOD","2018-04-25 2:00PM","2018-04-25 2:00PM","018680","22-05-2018","Products Installed",
"14","01 01","QMS 01/01/07/027691","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH070","Klinik Kesihatan Paginatan","D A Pejabat Kesihatan Ranau   Peti Surat 32  89307Ranau Sabah","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP028","PBE","SABAH","RANAU","2018-04-10 10:00AM","2018-04-10 10:00AM","016869","26-04-2018","Products Installed",
"15","01 01","QMS 01/01/07/027692","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","SBH071","Klinik Kesihatan Perancangan","D A Pejabat Kesihatan Ranau   Peti Surat 32  89307Ranau Sabah","KK","Batch 7","East Malaysia","PO106715","2016-09-01","SBPASP029","PBE","SABAH","RANAU","2018-04-10 10:00AM","2018-04-10 10:00AM","016866","26-04-2018","Products Installed",
